participantID,design,qid,response
P1,cat,q1,5
P1,cat,q2,5
P1,cat,q3,5
P1,logo,q1,3
P1,logo,q2,4
P1,logo,q3,4
P2,cat,q1,5
P2,cat,q2,4
P2,cat,q3,5
P2,logo,q1,4
P2,logo,q2,5
P2,logo,q3,4
P3,cat,q1,5
P3,cat,q2,5
P3,cat,q3,5
P3,logo,q1,3
P3,logo,q2,4
P3,logo,q3,4
P4,cat,q1,3
P4,cat,q2,1
P4,cat,q3,3
P4,logo,q1,1
P4,logo,q2,3
P4,logo,q3,1
P5,cat,q1,2
P5,cat,q2,2
P5,cat,q3,1
P5,logo,q1,1
P5,logo,q2,2
P5,logo,q3,4
P6,cat,q1,5
P6,cat,q2,4
P6,cat,q3,3
P6,logo,q1,4
P6,logo,q2,4
P6,logo,q3,3
P7,cat,q1,5
P7,cat,q2,4
P7,cat,q3,4
P7,logo,q1,3
P7,logo,q2,4
P7,logo,q3,4
P8,cat,q1,5
P8,cat,q2,5
P8,cat,q3,1
P8,logo,q1,4
P8,logo,q2,3
P8,logo,q3,5
P9,cat,q1,4
P9,cat,q2,3
P9,cat,q3,3
P9,logo,q1,4
P9,logo,q2,4
P9,logo,q3,4
P10,cat,q1,5
P10,cat,q2,5
P10,cat,q3,4
P10,logo,q1,5
P10,logo,q2,5
P10,logo,q3,4
P11,cat,q1,5
P11,cat,q2,5
P11,cat,q3,5
P11,logo,q1,3
P11,logo,q2,3
P11,logo,q3,3
P12,cat,q1,5
P12,cat,q2,5
P12,cat,q3,5
P12,logo,q1,4
P12,logo,q2,3
P12,logo,q3,4
P13,cat,q1,4
P13,cat,q2,4
P13,cat,q3,1
P13,logo,q1,1
P13,logo,q2,1
P13,logo,q3,1
P14,cat,q1,5
P14,cat,q2,5
P14,cat,q3,5
P14,logo,q1,1
P14,logo,q2,1
P14,logo,q3,1
P15,cat,q1,5
P15,cat,q2,5
P15,cat,q3,4
P15,logo,q1,3
P15,logo,q2,2
P15,logo,q3,3
P16,cat,q1,2
P16,cat,q2,1
P16,cat,q3,2
P16,logo,q1,3
P16,logo,q2,2
P16,logo,q3,3
P17,cat,q1,1
P17,cat,q2,1
P17,cat,q3,1
P17,logo,q1,1
P17,logo,q2,1
P17,logo,q3,1
