"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","cat_1","cat_2","cat_3","logo_1","logo_2","logo_3"
"2023-09-30 16:31:01","2023-09-30 16:32:19","IP Address","100","78","True","2023-09-30 16:32:20","R_YSsAkhpHYV03J29",NA,NA,NA,NA,"42.055","-87.6951","anonymous","EN","5","5","5","3","4","4"
"2023-09-30 16:41:27","2023-09-30 16:42:07","IP Address","100","39","True","2023-09-30 16:42:07","R_cDeyR5M2tc9sUtH",NA,NA,NA,NA,"42.3562","-71.0631","anonymous","EN","5","4","5","4","5","4"
"2023-09-30 16:32:22","2023-09-30 16:43:13","IP Address","100","650","True","2023-09-30 16:43:14","R_3ERMySZd8lw9VN2",NA,NA,NA,NA,"42.055","-87.6951","anonymous","EN","5","5","5","3","4","4"
"2023-09-30 16:42:38","2023-09-30 16:43:13","IP Address","100","34","True","2023-09-30 16:43:14","R_3qW4ett4izNi6Xo",NA,NA,NA,NA,"42.3562","-71.0631","anonymous","EN","3","1","3","1","3","1"
"2023-09-30 16:53:08","2023-09-30 16:53:58","IP Address","100","49","True","2023-09-30 16:53:59","R_3gO7gRkMgnnmPZI",NA,NA,NA,NA,"41.8502","-87.6736","anonymous","EN","2","2","1","1","2","4"
"2023-09-30 19:02:29","2023-09-30 19:04:26","IP Address","100","117","True","2023-09-30 19:04:27","R_ZEPzl00SPYgtZC1",NA,NA,NA,NA,"41.871","-87.6289","anonymous","EN","5","4","3","4","4","3"
"2023-09-30 21:01:43","2023-09-30 21:03:03","IP Address","100","80","True","2023-09-30 21:03:04","R_1hRVu4AaAQ9CkR4",NA,NA,NA,NA,"41.8482","-87.6521","anonymous","EN","5","4","4","3","4","4"
"2023-10-01 14:24:23","2023-10-01 14:26:11","IP Address","100","107","True","2023-10-01 14:26:12","R_6KZv9HV9clxGhnb",NA,NA,NA,NA,"41.8482","-87.6521","anonymous","EN","5","5","1","4","3","5"
"2023-09-30 16:26:52","2023-09-30 17:34:34","IP Address","33","4061","False","2023-10-07 17:34:39","R_UPV3x8ctQK616hP",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-02 10:44:38","2023-10-02 10:45:29","IP Address","33","50","False","2023-10-09 10:45:31","R_1nQ2EnYrgdgVSFY",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-09 12:05:32","2023-10-09 12:07:41","IP Address","100","129","True","2023-10-09 12:07:42","R_3nkm0r2kSivM9Sl",NA,NA,NA,NA,"42.055","-87.6951","anonymous","EN","4","3","3","4","4","4"
"2023-10-09 12:25:10","2023-10-09 12:25:40","IP Address","100","29","True","2023-10-09 12:25:40","R_31GhtT9OzsZwsZP",NA,NA,NA,NA,"49.2643","-123.0961","anonymous","EN","5","5","4","5","5","4"
"2023-10-09 12:31:52","2023-10-09 12:32:26","IP Address","100","34","True","2023-10-09 12:32:27","R_2zkxWNBX0NxxqSy",NA,NA,NA,NA,"33.7855","-84.3612","anonymous","EN","5","5","5","3","3","3"
"2023-10-09 20:01:07","2023-10-09 20:01:44","IP Address","100","36","True","2023-10-09 20:01:44","R_2zOnOWsw01PR8Sv",NA,NA,NA,NA,"41.8482","-87.6521","anonymous","EN","5","5","5","4","3","4"
"2023-10-09 12:02:44","2023-10-09 12:03:30","IP Address","33","46","False","2023-10-16 12:03:33","R_2sSWFl6w80nMTLX",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-09 12:27:12","2023-10-09 12:27:17","IP Address","33","4","False","2023-10-16 12:27:18","R_24Ca7k1qLYoH8EN",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-09 14:07:16","2023-10-09 19:17:03","IP Address","33","18586","False","2023-10-16 19:17:06","R_2uIDLuukz5XoqIM",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-12 23:30:26","2023-10-13 00:06:09","IP Address","33","2142","False","2023-10-20 00:06:11","R_3ly6vaeg2qRkOmi",NA,NA,NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA
"2023-10-22 21:02:15","2023-10-22 21:03:34","IP Address","100","78","True","2023-10-22 21:03:34","R_1K6WdwHCmXOWEK3",NA,NA,NA,NA,"-37.828","144.9548","anonymous","EN","4","4","1","1","1","1"
"2023-10-22 21:02:42","2023-10-22 21:03:39","IP Address","100","56","True","2023-10-22 21:03:40","R_1JUv82GX4var8P3",NA,NA,NA,NA,"37.751","-97.822","anonymous","EN","5","5","5","1","1","1"
"2023-10-22 21:02:18","2023-10-22 21:03:51","IP Address","100","93","True","2023-10-22 21:03:52","R_1mqkUsjBML05xFs",NA,NA,NA,NA,"-37.828","144.9548","anonymous","EN","5","5","4","3","2","3"
"2023-10-22 21:02:19","2023-10-22 21:03:59","IP Address","100","100","True","2023-10-22 21:04:00","R_1kYOii77KINIii8",NA,NA,NA,NA,"-37.828","144.9548","anonymous","EN","2","1","2","3","2","3"
"2023-10-22 21:02:46","2023-10-22 21:04:02","IP Address","100","75","True","2023-10-22 21:04:02","R_3oyBIQNC1uCGxMw",NA,NA,NA,NA,"-37.828","144.9548","anonymous","EN","1","1","1","1","1","1"
